filename,font_used,label
fake_0001.jpg,Covered By Your Grace,fake
fake_0002.jpg,Covered By Your Grace,fake
fake_0003.jpg,Rock Salt,fake
fake_0004.jpg,Mali,fake
fake_0005.jpg,Caveat,fake
fake_0006.jpg,Dekko,fake
fake_0007.jpg,Crafty Girls,fake
fake_0008.jpg,Yellowtail,fake
fake_0009.jpg,Nothing You Could Do,fake
fake_0010.jpg,Mali,fake
fake_0011.jpg,Permanent Marker,fake
fake_0012.jpg,Shadows Into Light,fake
fake_0013.jpg,Crafty Girls,fake
fake_0014.jpg,Crafty Girls,fake
fake_0015.jpg,Great Vibes,fake
fake_0016.jpg,Covered By Your Grace,fake
fake_0017.jpg,Gamja Flower,fake
fake_0018.jpg,Pangolin,fake
fake_0019.jpg,Satisfy,fake
fake_0020.jpg,Nothing You Could Do,fake
fake_0021.jpg,Crafty Girls,fake
fake_0022.jpg,Sedgwick Ave,fake
fake_0023.jpg,Permanent Marker,fake
fake_0024.jpg,Gloria Hallelujah,fake
fake_0025.jpg,Reenie Beanie,fake
fake_0026.jpg,Marck Script,fake
fake_0027.jpg,Reenie Beanie,fake
fake_0028.jpg,Kalam,fake
fake_0029.jpg,Caveat,fake
fake_0030.jpg,Yellowtail,fake
fake_0031.jpg,Kalam,fake
fake_0032.jpg,Courgette,fake
fake_0033.jpg,The Girl Next Door,fake
fake_0034.jpg,Gamja Flower,fake
fake_0035.jpg,Crafty Girls,fake
fake_0036.jpg,Sriracha,fake
fake_0037.jpg,Rock Salt,fake
fake_0038.jpg,Yellowtail,fake
fake_0039.jpg,Parisienne,fake
fake_0040.jpg,Parisienne,fake
fake_0041.jpg,Walter Turncoat,fake
fake_0042.jpg,Rock Salt,fake
fake_0043.jpg,Schoolbell,fake
fake_0044.jpg,Sriracha,fake
fake_0045.jpg,Klee One,fake
fake_0046.jpg,Delius,fake
fake_0047.jpg,Courgette,fake
fake_0048.jpg,Dekko,fake
fake_0049.jpg,Gamja Flower,fake
fake_0050.jpg,Parisienne,fake
fake_0051.jpg,Parisienne,fake
fake_0052.jpg,Waiting for the Sunrise,fake
fake_0053.jpg,Zeyada,fake
fake_0054.jpg,Sriracha,fake
fake_0055.jpg,Courgette,fake
fake_0056.jpg,Waiting for the Sunrise,fake
fake_0057.jpg,Schoolbell,fake
fake_0058.jpg,Caveat,fake
fake_0059.jpg,Nothing You Could Do,fake
fake_0060.jpg,Reenie Beanie,fake
fake_0061.jpg,Homemade Apple,fake
fake_0062.jpg,Hi Melody,fake
fake_0063.jpg,Dancing Script,fake
fake_0064.jpg,Gaegu,fake
fake_0065.jpg,Zeyada,fake
fake_0066.jpg,Crafty Girls,fake
fake_0067.jpg,Schoolbell,fake
fake_0068.jpg,Gaegu,fake
fake_0069.jpg,Delius,fake
fake_0070.jpg,Courgette,fake
fake_0071.jpg,Zeyada,fake
fake_0072.jpg,Kalam,fake
fake_0073.jpg,Klee One,fake
fake_0074.jpg,Waiting for the Sunrise,fake
fake_0075.jpg,Itim,fake
fake_0076.jpg,Gloria Hallelujah,fake
fake_0077.jpg,Nothing You Could Do,fake
fake_0078.jpg,Marck Script,fake
fake_0079.jpg,Just Another Hand,fake
fake_0080.jpg,Great Vibes,fake
fake_0081.jpg,Parisienne,fake
fake_0082.jpg,Gamja Flower,fake
fake_0083.jpg,Gaegu,fake
fake_0084.jpg,Gamja Flower,fake
fake_0085.jpg,Kalam,fake
fake_0086.jpg,Nothing You Could Do,fake
fake_0087.jpg,Mali,fake
fake_0088.jpg,Marck Script,fake
fake_0089.jpg,Crafty Girls,fake
fake_0090.jpg,Homemade Apple,fake
fake_0091.jpg,The Girl Next Door,fake
fake_0092.jpg,Nothing You Could Do,fake
fake_0093.jpg,Parisienne,fake
fake_0094.jpg,Sacramento,fake
fake_0095.jpg,Permanent Marker,fake
fake_0096.jpg,Architects Daughter,fake
fake_0097.jpg,Just Another Hand,fake
fake_0098.jpg,Delius,fake
fake_0099.jpg,Dekko,fake
fake_0100.jpg,Sacramento,fake
fake_0101.jpg,Dekko,fake
fake_0102.jpg,Itim,fake
fake_0103.jpg,Patrick Hand,fake
fake_0104.jpg,Dancing Script,fake
fake_0105.jpg,Dekko,fake
fake_0106.jpg,Indie Flower,fake
fake_0107.jpg,Architects Daughter,fake
fake_0108.jpg,Yellowtail,fake
fake_0109.jpg,Sriracha,fake
fake_0110.jpg,Gochi Hand,fake
fake_0111.jpg,Schoolbell,fake
fake_0112.jpg,Shadows Into Light,fake
fake_0113.jpg,Covered By Your Grace,fake
fake_0114.jpg,Neucha,fake
fake_0115.jpg,Gochi Hand,fake
fake_0116.jpg,Itim,fake
fake_0117.jpg,Sriracha,fake
fake_0118.jpg,Hi Melody,fake
fake_0119.jpg,Rock Salt,fake
fake_0120.jpg,Neucha,fake
fake_0121.jpg,Satisfy,fake
fake_0122.jpg,Yellowtail,fake
fake_0123.jpg,Permanent Marker,fake
fake_0124.jpg,Dancing Script,fake
fake_0125.jpg,Courgette,fake
fake_0126.jpg,Shadows Into Light,fake
fake_0127.jpg,Pangolin,fake
fake_0128.jpg,Patrick Hand,fake
fake_0129.jpg,The Girl Next Door,fake
fake_0130.jpg,Zeyada,fake
fake_0131.jpg,Itim,fake
fake_0132.jpg,Walter Turncoat,fake
fake_0133.jpg,Yellowtail,fake
fake_0134.jpg,Delius,fake
fake_0135.jpg,Gochi Hand,fake
fake_0136.jpg,Courgette,fake
fake_0137.jpg,Sedgwick Ave,fake
fake_0138.jpg,Just Another Hand,fake
fake_0139.jpg,Bad Script,fake
fake_0140.jpg,Pangolin,fake
fake_0141.jpg,Homemade Apple,fake
fake_0142.jpg,Crafty Girls,fake
fake_0143.jpg,Architects Daughter,fake
fake_0144.jpg,Gamja Flower,fake
fake_0145.jpg,Covered By Your Grace,fake
fake_0146.jpg,The Girl Next Door,fake
fake_0147.jpg,Reenie Beanie,fake
fake_0148.jpg,Permanent Marker,fake
fake_0149.jpg,Courgette,fake
fake_0150.jpg,Great Vibes,fake
fake_0151.jpg,Walter Turncoat,fake
fake_0152.jpg,Patrick Hand,fake
fake_0153.jpg,Homemade Apple,fake
fake_0154.jpg,Rock Salt,fake
fake_0155.jpg,Delius,fake
fake_0156.jpg,Gloria Hallelujah,fake
fake_0157.jpg,Gochi Hand,fake
fake_0158.jpg,Indie Flower,fake
fake_0159.jpg,Gamja Flower,fake
fake_0160.jpg,Pangolin,fake
fake_0161.jpg,Zeyada,fake
fake_0162.jpg,Caveat,fake
fake_0163.jpg,Sedgwick Ave,fake
fake_0164.jpg,Shadows Into Light,fake
fake_0165.jpg,Sacramento,fake
fake_0166.jpg,Mali,fake
fake_0167.jpg,Itim,fake
fake_0168.jpg,The Girl Next Door,fake
fake_0169.jpg,Loved by the King,fake
fake_0170.jpg,Klee One,fake
fake_0171.jpg,Indie Flower,fake
fake_0172.jpg,Bad Script,fake
fake_0173.jpg,Hi Melody,fake
fake_0174.jpg,Just Another Hand,fake
fake_0175.jpg,Sedgwick Ave,fake
fake_0176.jpg,Parisienne,fake
fake_0177.jpg,Schoolbell,fake
fake_0178.jpg,Covered By Your Grace,fake
fake_0179.jpg,Just Another Hand,fake
fake_0180.jpg,Waiting for the Sunrise,fake
fake_0181.jpg,Neucha,fake
fake_0182.jpg,Permanent Marker,fake
fake_0183.jpg,Zeyada,fake
fake_0184.jpg,Hi Melody,fake
fake_0185.jpg,Yellowtail,fake
fake_0186.jpg,Gaegu,fake
fake_0187.jpg,Patrick Hand,fake
fake_0188.jpg,Dekko,fake
fake_0189.jpg,Pangolin,fake
fake_0190.jpg,Kalam,fake
fake_0191.jpg,Schoolbell,fake
fake_0192.jpg,Satisfy,fake
fake_0193.jpg,Indie Flower,fake
fake_0194.jpg,Parisienne,fake
fake_0195.jpg,Architects Daughter,fake
fake_0196.jpg,Caveat,fake
fake_0197.jpg,Marck Script,fake
fake_0198.jpg,Zeyada,fake
fake_0199.jpg,Schoolbell,fake
fake_0200.jpg,Patrick Hand,fake
fake_0201.jpg,Architects Daughter,fake
fake_0202.jpg,Architects Daughter,fake
fake_0203.jpg,Sedgwick Ave,fake
fake_0204.jpg,Homemade Apple,fake
fake_0205.jpg,Satisfy,fake
fake_0206.jpg,Sacramento,fake
fake_0207.jpg,Just Another Hand,fake
fake_0208.jpg,Klee One,fake
fake_0209.jpg,Sedgwick Ave,fake
fake_0210.jpg,Neucha,fake
fake_0211.jpg,Nothing You Could Do,fake
fake_0212.jpg,Klee One,fake
fake_0213.jpg,Sedgwick Ave,fake
fake_0214.jpg,Just Another Hand,fake
fake_0215.jpg,Permanent Marker,fake
fake_0216.jpg,Gochi Hand,fake
fake_0217.jpg,Great Vibes,fake
